Ficheiro;Configuracao;MBF;Melhor_Run
tourism_500.txt;Evolutivo_Torneio_1000_Iter;3546.1909;3567.0228
tourism_500.txt;Evolutivo_Torneio_5000_Iter;3602.9865;3609.7237
tourism_500.txt;Evolutivo_Torneio_50000_Iter;3613.3831;3613.3962
tourism_500.txt;Evolutivo_Roleta_100_Iter;3067.3576;3140.5688
tourism_500.txt;Evolutivo_Roleta_1000_Iter;3372.5792;3412.6966
tourism_500.txt;Evolutivo_Roleta_5000_Iter;3598.9305;3606.8001
tourism_500.txt;Evolutivo_Roleta_50000_Iter;3613.3879;3613.3962
tourism_500.txt;Hibrido_Sequencial_100_Iter;3361.7507;3412.0137
tourism_500.txt;Hibrido_Sequencial_1000_Iter;3552.5650;3574.7737
tourism_500.txt;Hibrido_Sequencial_5000_Iter;3602.4386;3609.6295
tourism_500.txt;Hibrido_Sequencial_50000_Iter;3613.3568;3613.3962
tourism_500.txt;Hibrido_Memetico_100_Iter;3399.8732;3430.2628
tourism_500.txt;Hibrido_Memetico_1000_Iter;3582.9363;3595.1586
tourism_500.txt;Hibrido_Memetico_5000_Iter;3610.7766;3613.2770
tourism_500.txt;Hibrido_Memetico_50000_Iter;3613.3962;3613.3962
